k,reference_id,reference_slice,sparse_mean,sparse_std,sparse_min,sparse_max,dense_fp_mean,dense_fp_std,dense_fp_min,dense_fp_max
2,s1130,139,0.9199886322021484,0.1524723619222641,0.6150537133216858,0.997951865196228,0.994214653968811,0.003963167313486338,0.9879323840141296,0.9980981349945068
3,s1130,139,0.9978540539741516,0.0011409460566937923,0.9956701993942261,0.9989701509475708,0.9949673414230347,0.0025629561860114336,0.9916253685951233,0.9978395700454712
5,s1130,139,0.9977672696113586,0.0008293602732010186,0.9964925050735474,0.9988319873809814,0.9975956082344055,0.000483423238620162,0.9967737793922424,0.9982190728187561
10,s1130,139,0.9984515309333801,0.00040699291275814176,0.9979758262634277,0.9992012977600098,0.9974085688591003,0.0010445842053741217,0.9960070848464966,0.9987789392471313
20,s1130,139,0.9986270666122437,0.0004011403361801058,0.9979758262634277,0.9990749359130859,0.9986344575881958,0.0004574452177621424,0.9979124069213867,0.9990676641464233
50,s1130,139,0.9990311861038208,0.0001215884622070007,0.9988681674003601,0.9992012977600098,0.9990350008010864,0.00011805024405475706,0.9988399744033813,0.9992012977600098
100,s1130,139,0.9990535974502563,9.742328256834298e-05,0.9989186525344849,0.9992012977600098,0.9990350008010864,0.00011805024405475706,0.9988399744033813,0.9992012977600098
1,s1096,67,0.997524619102478,0.0018620149930939078,0.9953188896179199,0.9994990825653076,0.915566623210907,0.13834986090660095,0.6394021511077881,0.997342050075531
2,s1096,67,0.9913336038589478,0.006155860610306263,0.9806144833564758,0.9987435936927795,0.9986642003059387,0.0008627260685898364,0.9972009062767029,0.9996871948242188
3,s1096,67,0.9995344877243042,0.00018768732843454927,0.9992995858192444,0.9997587203979492,0.9990164041519165,0.0006457491545006633,0.9980549812316895,0.9997894763946533
5,s1096,67,0.9992327690124512,0.00022262342099566013,0.9988023042678833,0.9993959665298462,0.9993645548820496,0.0006617350736632943,0.9980549812316895,0.999858558177948
10,s1096,67,0.9997991323471069,4.138065196457319e-05,0.9997467398643494,0.9998525381088257,0.9997888803482056,5.2823659643763676e-05,0.9996893405914307,0.9998394250869751
